ID,Income,AppliedOnline,Residence,Yrs at Current Address,Yrs with Current Employer,Number of Cards,Creditcard Debt,Loans,Loan Amount,Name,Email,RFC,Birthday,Phone,Location,SalePrice,Location_property,MortgageDefault
100522,43982,YES,Owner Occupier,13,11,2,1055,0,9405,BLANCA LAURA CORREU INES,JYIyNlLpJG@company.com,COIB780407I211,7/4/1978,7776317282,"Cuernavaca, Mor.",500000,110,NO
101756,59944,YES,Owner Occupier,20,11,2,3894,0,9880,WILBER NAAL FIGAROLA,RBCqYinVFW@live.com,NAFW8305061E5,6/5/1983,3227826872,"Puerto Vallarta, Jal.",750000,110,NO
101354,57718,YES,Owner Occupier,25,16,2,1555,1,6285,CLAUDIA MONTSERRAT CINCO BERRA,EuJAciOEEu@hotmail.com,CIBC820802R22,2/8/1982,9611050514,"Tuxtla Gutiérrez, Chis.",155000,130,YES
100512,45621,YES,Owner Occupier,1,19,1,1878,0,9260,FIDEL ANGEL NEGRETE CHENA,ihmRlouQKD@gmt.com.mx,NECF730815799,15-08-1973,4446189038,"San Luis Potosí, S.L.P.",195000,100,YES
100537,45081,NO,Owner Occupier,14,15,2,713,1,8430,REFUGIO PAVIA BARCENA,cUBAMQQvnX@live.com,PABR690712AM8,12/7/1969,9218414135,"Coatzacoalcos, Ver.",140000,110,NO
100458,46645,NO,Owner Occupier,19,4,1,884,0,6045,KARLA NOHEMI OREGEL MANCISIDOR,UJQqTVwpUy@company.com,ORMK680301T5A,1/3/1968,7227805653,"Toluca, Méx.",475000,110,NO
101430,45066,YES,Private Renting,16,15,1,860,1,6605,IRVING MANUEL CARVAJAL CONSUELO,MLbLfHjBSr@gmt.com.mx,CACI6909195B1,19-09-1969,8191168971,"Monterrey, N.L.",255000,100,YES
101432,44202,NO,Owner Occupier,1,23,2,2611,0,12915,ANGEL HUMBERTO LEYTE BRUSSOLO,wQlnlOvuNq@live.com,LEBA6207078S7,7/7/1962,6626257810,"Hermosillo, Son.",162000,101,NO
100601,55215,YES,Private Renting,1,6,2,1930,0,9820,JOSE FREDY LEZAMA PONTIFES,GAzomyfqwA@gmt.com.mx,LEPJ940722ECA,22-07-1994,9981974045,"Cancún, Q.Roo",905000,110,NO
101549,44460,YES,Owner Occupier,4,16,1,3467,1,9290,JUANA YOLANDA REVUELTA MENDIOLA,VXgIrJQRDT@company.com,REMJ841125HP7,25-11-1984,7228886992,"Toluca, Méx.",192000,100,YES
101524,57004,YES,Private Renting,14,31,1,3561,0,6720,ARIEL DE JESUS ZARAGOZA BAQUEIRO,voOnIUJaGr@gmail.com,ZABA750202GT5,2/2/1975,3523010457,"La Piedad, Mich.",121000,100,NO
100548,44272,YES,Owner Occupier,12,20,1,645,1,10095,GRACIELA DE JESUS DE LA CUESTA AARON,faouxAgKjq@company.com,DEAG8710016G7,1/10/1987,4744546539,"Lagos de Moreno, Jal.",170000,100,YES
101472,45659,YES,Public Housing,12,17,1,9466,1,17050,SARA EDITH WENCES ORUETA,WaGRxOfjpo@company.com,WEOS591108QA5,8/11/1959,4421477038,"Querétaro, Qro.",340000,100,NO
100536,45450,YES,Owner Occupier,15,24,1,4217,0,8040,ROSA ANGEL DELGADO JIMENES,SlsTpMNche@gmt.com.mx,DEJR680822IU7,22-08-1968,8677206570,"Nuevo Laredo, Tamps.",270000,100,YES
100599,52495,NO,Owner Occupier,18,16,2,2527,1,10375,GUSTAVO PLUMA CONSUELO,XbHpwHVxuN@company.com,PLCG640908KR7,8/9/1964,4733736622,"Guanajuato, Gto.",195000,100,YES
100627,44671,YES,Private Renting,16,9,2,3971,1,12050,TANIA BARANDA LAUREL,CDrDRgrtXy@hotmail.com,BALT740222BA7,22-02-1974,3228321916,"Puerto Vallarta, Jal.",270000,130,YES
101754,50816,YES,Owner Occupier,0,17,2,2031,1,8075,MAYRA EUGENIA LOS PARIENTE,TSRfwxlCJe@hotmail.com,LOPM010325C65,25-03-2001,7538382674,"Ciudad Lázaro Cárdenas, Mich.",300000,130,YES
101749,43876,YES,Private Renting,13,0,2,98,1,5330,JEAN PAUL JARALEÑO TECUANHUEY,XKBXzopoQc@gmail.com,JATJ650731TU5,31-07-1965,9221885639,"Chinameca, Ver.",252500,100,NO
100620,44705,YES,Owner Occupier,0,8,1,230,0,5720,EDNA CAROLINA ZUVIRIE ZACARIAZ,JPqqgECYsw@hotmail.com,ZUZE750605LF11,5/6/1975,7534152350,"Ciudad Lázaro Cárdenas, Mich.",275000,111,NO
100569,46168,YES,Private Renting,0,6,1,3762,1,12520,Wolfgang Amadeus Mozart,DuisMwpp3o@gmail.com,AMMW561026SNA,24-08-1971,5957960399,"Texcoco, Méx.",385000,120,YES
100782,43608,NO,Owner Occupier,2,20,1,452,0,7610,PEDRO CARLOS VUELVAS MOYANO,wZArtgRZfI@hotmail.com,VUMP561004NI7,4/10/1956,7758203953,"Singuilucan, Hgo.",410000,100,YES
100756,59944,YES,Owner Occupier,20,11,2,3894,0,9880,Wolfgang Amadeus Mozart,DuisMwpp3o@gmail.com,AMMW561026SNA,20-01-1986,8993701681,"Reynosa,Tamps.",750000,110,NO
101452,57689,NO,Owner Occupier,25,19,1,331,1,9915,LISBET ALILIO ISAS,WWUUzhnWTF@hotmail.com,ALIL861203NM2,3/12/1986,7285082977,"Lerma, México",315000,100,YES
100494,55421,NO,Owner Occupier,11,3,2,1169,0,10715,ALEJANDRO ALBERTO BUTANDA VICHIQUE,cBGKJXHQbd@company.com,BUVA8801056U1,5/1/1988,4443505165,"San Luis Potosí, S.L.P.",245000,130,YES
100563,55112,YES,Living with parents/guardian,10,14,2,4113,1,14510,OSCAR MANUEL MOGICA CHAVERRI,iOBvMKgJtw@live.com,XXXX8904284C5,28-04-1989,7285507692,"Lerma, México",265000,100,YES
100677,44728,YES,Private Renting,2,7,2,847,0,11580,SARA BEATRIZ ENZASTIGA REGALADO,kQgxhwfSmS@company.com,ENRS000323QM11,23-03-2000,4449568404,"San Luis Potosí, S.L.P.",237500,110,NO
100697,51561,NO,Public Housing,17,5,2,3010,0,16630,PROCOPIO MAZARI SUBDIAZ,CiMaaRRSsQ@company.com,MASP810712ES1,12/7/1981,4927894424,"Zacatecas, Zac.",359850,100,NO
100423,49007,NO,Living with parents/guardian,14,18,1,13360,0,24375,JOSE DEL ROSARIO SANTIZ UROZA,saTrXklLXI@company.com,SAUJ720610FI3,10/6/1972,8714308591,"Torreón, Coah.",200000,100,NO
101722,45390,YES,Owner Occupier,3,2,2,154,0,11710,NADIA SELENE ALMORA COSMES,OCnXJptNhw@live.com,ALCN870422BK3,22-04-1987,8131959628,"Monterrey, N.L.",242500,110,NO
100439,43890,YES,Owner Occupier,19,18,2,505,1,6960,ALEJANDRO IVAN PORTUGAL DEL CARMEN,ijSEuaWZsS@company.com,PODA8805299U6,29-05-1988,8671929553,"Nuevo Laredo, Tamps.",348500,100,NO
101363,44193,YES,Public Housing,18,3,1,260,0,6605,VERONICA CECILIA MARTO CARDEL,CPQqSwleir@gmt.com.mx,MACV951215FG11,15-12-1995,8714405076,"Torreón, Coah.",284500,120,NO
100325,52540,YES,Sheltered,0,15,2,397,0,8250,ARTURO DAVID BANTE ORDUÑA,EPAzBDITRq@gmt.com.mx,BAOA6409283I4,28-09-1964,6185107510,"Durango, Dgo.",215000,120,YES
100532,48931,YES,Owner Occupier,11,19,2,652,0,7795,CARLOS LUIS CLAUDIO PASARAN,lZhJvnwrVa@gmt.com.mx,CLPC870803TP11,3/8/1987,7732449025,"Tepeji del Rio, Hgo.",190000,100,NO
100695,58878,NO,Owner Occupier,18,9,1,1680,0,6165,SAIRA CASIANO YEPEZ,GuKFDKdGdR@company.com,CAYS941006552,6/10/1994,7346722869,"Zacatepec, Mor.",260000,100,YES
100589,43362,YES,Owner Occupier,15,4,2,434,1,4320,DAMIANO AYAR Y ROJAS,sHEIVzOYtD@gmail.com,AYYD690105RN6,5/1/1969,7834789736,"Tuxpan, Ver.",650000,391,YES
